order_id,drop_latitude,drop_longitude
e232c53370a1ee0ec64adb74364b8ffa,37.4523676,-77.2107178
f2646d4c3c5cdc8dfaab300f92f2abf1,37.4361247,-77.2170956
98ddbb95e13b29cfb3393d4a1d9d8ea0,37.4350478,-77.2289969
9ac68371a7632ab5e2c239a2323d320b,37.4478175,-77.2502261
63003cfe4dbdac43683ef9adb69b07bb,37.4376199,-77.2724601
2dbf4674e2f5ca791cad572e6b563d71,37.4725913,-77.2771736
44fb5d4c9313a10f4c99ebfc692420a7,37.4667825,-77.2865328
a636d613196f5bd30e008ddb9d10afb7,37.4555234,-77.2869143
22b77e2be954fd2658f7994dff85e953,37.463104,-77.320047
d0aec4c234cab7347dd85091f4675eaf,37.4649248,-77.3273498
dee5d2d1d7468455e0cfe79ca4714499,37.4537704,-77.3216468
d1687dcbde1602988a8fec8b5cb93822,37.454033,-77.3237601
40ad09f58eb7f4b8d221cec7a478875d,37.4487692,-77.3285613
c858529f4894b6ebd2ee055a07fdd22a,37.4497449,-77.3292343
268500f594539af780062cd10d357e87,37.4430603,-77.3304009
c9236db684de44e49db168432c757fcd,37.4095935,-77.3471108
0f619ba9970687e0fa043b9cc3f2b5d8,37.5973477,-77.4519138
cf82ce6f5d206c80059993e55dad033e,37.5892763,-77.4417136
1c476c115370fc02174ce82fe3795c64,37.5892763,-77.4417136
7bbcf73726a1cb2167631df12ef7e2df,37.5777168,-77.4413015
ef7363f8073d08174ce72e54a05b9e0b,37.5738369,-77.4387102
e0867a746763e9469021bf608da08db8,37.570053,-77.4378136
ea1e7a99aaa83b3130135e77a44930e2,37.5692566,-77.4385981
e4b936d4be3b0baadc521040c04f3fcc,37.567103,-77.4378136
762adbec1a887a56e33f79c562264f54,37.5652716,-77.4405929
3347174a6cca5b287ada8e297e0c2cf3,37.5588096,-77.4412148
e294f0ea968717156f8de15016cbca7a,37.5240527,-77.4510954
b5424ae59893f48ed9d5b3764176ec87,37.5804849,-77.5661735
ab4164ba9125ff0f37aba29726da17a9,37.6330006,-77.5990833
a74a1b25549d940b5af64c1b3e806cb2,37.6405599,-77.6035341
f2fd5ac8c2a7f6da98c17eee60dceaaa,37.6570347,-77.6424486
113cedfbed86db18fe2f26925e39c21d,37.6270547,-77.6393162
5c64a20a82442049bc52805747a1f3f2,37.6185331,-77.6403692
1781925319e2037d080f9fca58226842,37.4895852,-77.3800608
17290fd367dafa8b5dafd5a853f53000,37.489702,-77.3818997
2f7d4d1e4977f6157895dfb5dc9f1ea3,37.4927849,-77.3815857
98e5d889bca06ee7b0b6ae17169819c3,37.4940045,-77.3811247
92466b09494539771f65fc99c2b6ba85,37.4941976,-77.3801886
0aaea02443193b1c71e5503fddec6ecf,37.4914651,-77.3769661
32eb821a7863a77c7f4a61c676a9cd31,37.4932978,-77.3757103
2c7810661ce6ed7153e705eba109d800,37.4894384,-77.3764279
9402a4e353dcea5cceb2cc05c6bb856f,37.4886468,-77.3759345
1f4057a4724794f2e0a57178da08ab24,37.4891133,-77.3734228
3e238d50d45ed3d30b4fb917d10d2c4c,37.4877083,-77.3718081
15a8367eb085851b4c679b29af309c8b,37.4818475,-77.3641487
0e84930ef1d7c95371808c2dc038a34d,37.482817,-77.3614384
f4bdcf5aa0efa514efe8f27941bea5db,37.4683916,-77.3634209
3fd016bf95a1c12e710644b2c26a9cf1,37.4654554,-77.3532993
16bf80b8c16f792adc9d6b39f7c52fa6,37.471323,-77.350411
5c46e47a16da8728be5559ad456907a2,37.4537108,-77.3517877
4f51453f61dd1756ca93edea8ad98d28,37.4516784,-77.3493343
a6dc27049f09c9a84421e65217338e0f,37.4515265,-77.3403615
75400d9cff538b49560d3f337275498e,37.4521706,-77.3345737
7e4f4e20f19eadb93ff4b6934e2e91dc,37.4456516,-77.3346186
098c904e009d6a2d47e63f4e0f044b0d,37.4424589,-77.3411242
f21883f7097245c8b6f9ca20c805a81e,37.4474359,-77.3571401
2859a8e773e23135612c176caa564e45,37.4309166,-77.3497381
04bbff87796e9bd035986fc05e1588de,37.4708163,-77.398448
d8cb13a14fc7bd462dfdc3d108369eed,37.4737482,-77.3914074
efbcf365f2f4067947d3b52b1ab3acf2,37.4690751,-77.3884027
663bd251246ff82d07bd61883f905892,37.4676827,-77.3895738
eeb23d1dad0f798f1c569013d4d459c7,37.4697297,-77.3902887
f8d218f9604afce4196e9c4098ff3110,37.4689558,-77.3918559
2b46e18d3d1e1b6393887e459d134589,37.4672667,-77.3921698
9550b4b4a63cdbf0a431f32ce919c93e,37.4658766,-77.3922146
6849f189e7909ae11f55f5b440aaeaf0,37.46699,-77.3945466
f55a84bc47b67765b1b43b9417a66586,37.4655257,-77.3965646
83f6d4f519ee5fb5cd538e6fd43ad014,37.4601172,-77.397013
4cd09ed732fbea391eb043a28dc2ada8,37.4558335,-77.3907796
d8c86f98f096ed9f3e64abc7243ff145,37.450873,-77.407003
d812d753b3a50e5fabbd9ccefe5592c8,37.4570244,-77.3938291
73c185c8d7017b25b668e1ce1a5a15f7,37.4587725,-77.391968
7daf7511356733f266b6131466466aab,37.4589162,-77.3858912
01d975b4f6a4e1c41c3019318fb712c6,37.4338325,-77.356198
069181be20104465f5430713c858486f,37.4444199,-77.3791414
808f871e3b3bf12da3fd30ce6e2fef5b,37.4418092,-77.3927415
dbe78e5d761d93356a48f7f2eb5bb521,37.4450121,-77.3992552
42989680c9090c86c643ca9593f19e81,37.4157377,-77.3917988
8b76828411a0aa9ebfab549ee1f1243b,37.5424871,-77.3942019
c38259863085f3eb538ae6f0dcd6a07c,37.523044,-77.3658648
9b2aadd3bd7b0bdbcbafa3ed5dbc99c4,37.5253028,-77.3815297
11bc038126b9e6b26ef13966dcbb0428,37.5251554,-77.3840524
f63274f9e88b03c8639d6653107ab8fa,37.5251554,-77.3840524
ccd4e9571878e94e3e4b61b8d73ebb9e,37.5272869,-77.3882233
9e1fedbbba0e12052e40d1f76bed853e,37.5197858,-77.3883242
bb1f1cefbff230c87ebf1ef519f7e4a8,37.5146971,-77.3889409
a93550e8b52bbb3cfc38ac9e6adfe40a,37.5201595,-77.3953874
9730ac3b858ba1d6c97015380f2f6f84,37.5201595,-77.3953874
235310b4a5e7c56e7384cbc0f73533f4,37.5162442,-77.39643
fba8e214aba6094b69d643c51a63d2ce,37.5158851,-77.4029771
7794de7641ccbee5624f5e948593b237,37.5162009,-77.4024838
d51bcc3a3ef67ac0994eb4e668c26b55,37.514804,-77.4013179
0c30d1758ad7592eb0fc653589420785,37.5139205,-77.3992103
c591b84d739aaf9134708cb3c6d2c6d4,37.5139181,-77.3977641
c65e618605167a459b04ba5ea8e576dc,37.5135751,-77.3979099
ad4ef2466fea3a4313d596d231e02e7b,37.5122191,-77.3967439
08acfdb2fca1859cbf0648e1dc359261,37.5089965,-77.3957574
ce8b5969b7dd88de85dc410881f1a1d1,37.5080185,-77.3930918
c81a08f8cb389097658338cd8fdcefbd,37.5075886,-77.391783
993b0d672a192b7221631330e5747b03,37.5088646,-77.3904395
d6f1aa0036f866762ed1f436d37a34ce,37.4988867,-77.3837833
87f6c3a3ca593bf58005712e4df4fabc,37.4996286,-77.3864743
70515f381c65bbb12db3b986b8d4e3ba,37.4945522,-77.3821912
d68465a1b1b46f4c9cef0c201936856d,37.5101042,-77.3987058
b2ab8313c2903b02eba658187e48b4ab,37.5132292,-77.4015421
13020cba2bc76f9faf3b2d5dc7c33a6e,37.5137215,-77.4023044
7e94f00389b89b516ff9699d3ba65371,37.5161564,-77.4062504
55c2292c1fca719670df925377d3d015,37.516432,-77.405398
15fc77ffe3b4f6d1fd75bd533789a6df,37.518021,-77.4071921
607782cb9c267760df073a574021ab7a,37.518816,-77.408984
bbb3b49afe0277d62574e4efc4a9aaa6,37.5173512,-77.4093444
7f5405651d0dfeb524a19a351d6e8c72,37.5173512,-77.4093444
a80d697557a9bdca9a11aaa3149862a3,37.5049706,-77.4082234
78c18b61c0ae359305da5f354784bd1c,37.492929,-77.4026632
3f88689f42b9770f4840943383401597,37.4918864,-77.4013628
345310ede1eb217509917dffd2650667,37.4866751,-77.3945017
a740348a0e3950052d1394d42bb37b63,37.4908799,-77.39356
4f0c6bdaaeb68407e4b28d7b736e40f7,37.4894955,-77.3929882
21c4e409301bb2bea55329c4ae8368de,37.4882724,-77.3891651
79aecc50cca7572e2336395b873f6c4b,37.4914431,-77.3904208
873cfd39c8c43fd17c6e17907eeb2b2f,37.4919956,-77.3906002
25b5e2d9f1d2815f52cde7ff3555a403,37.4934985,-77.3923145
f67965d23f3f396d01b78ab5b6d0e3be,37.4944143,-77.3940084
1a751dbe8309bd0b371e2469163678d6,37.4942019,-77.4000175
606b2a69f5b52adc0dc49c4a6c0a23ae,37.4975563,-77.3924595
e0519873eeb5fd733e53543781061197,37.4996379,-77.3907347
533679b175100fa6a9443c567e6c021a,37.4939752,-77.3859585
c146a08ad6cefa0a32f6708104b3f3e8,37.4939752,-77.3859585
8dbe995d76c8d2261d1943562f725b38,37.5873376,-77.4343618
a17b563939bb719b10b7cbf6858c3376,37.5844842,-77.43221
cc61781d8fc72e7ee79c79f697b464b8,37.5876187,-77.4308113
2e110ad3c2b4aee37527b6c15162ded5,37.5781554,-77.42822
dcd58f5c78b9c783cb05475ebc9adddc,37.5768083,-77.4282649
639f846185953499d371f06f98111fd4,37.5742864,-77.4238713
d3a81360315719daed9c3b517a2c576a,37.5776815,-77.4230643
4023d4494fb38ebbe979c77528bc7e61,37.5792842,-77.4238713
2eebdf3f9bdce9d65d8bf69eee3ca130,37.5800409,-77.4240506
21f68a2baa1cca2cecd74c0a6ca28703,37.5807872,-77.4218538
11f67fa8f5ac9cedaf9056d20c709272,37.5770514,-77.4197676
